,25,48,213,304,514,645,753,784,846,1192,1619,2166,2483,2600,4312,5590,5922,5981,6040,7105,7205,7489,9093,9152,9333,10000,10157,10173,11037,11218,11687,11757,12617,14798,14840,15630,16260,16413,17191,17626,17792,18212,19435,19687,19745,19928,20069,20207,20494,21416,21573,22017,22180,22255
degree,13,41,14,53,14,61,17,36,30,16,63,12,26,74,58,61,15,46,32,31,82,36,42,45,62,6,25,30,24,15,68,80,82,99,55,55,50,47,16,85,27,31,54,17,84,46,8,76,46,42,26,53,52,39
complete,False,False,False,True,False,True,False,True,False,False,True,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,True,False,True,False,False,False,False,True,True,False,True,True,True,True,True,True,True
x,68.4988318634424,72.22229078726969,79.52583541617544,84.309857856094,95.72525486745971,94.72919593392629,94.71599028505689,96.7248684293857,97.04047609339034,101.86227814029364,111.04689199715033,115.30298933368447,115.68578482198627,117.75175131086144,135.4106542978307,143.87004637511006,146.5535355852601,150.84237315392187,146.9323800322061,155.7278768328446,160.4813149440138,160.33764145234494,173.75793997005985,180.41296953838946,176.4449233243968,181.93224432104995,183.04961997487445,185.92249322407818,190.97355912294438,193.63267098445596,196.95145437788017,199.04225691284563,207.42793625906083,217.33684493868216,217.2648885407341,221.3697329842932,223.59183594470048,222.37287437282905,237.83608370587328,239.4705908663785,231.9217189781022,237.9082621754624,249.20888871342314,251.3404174702212,254.71886817623306,256.0161565358813,259.2149566223251,257.9335216188808,261.78515998871336,280.5831094908862,280.50512744186045,290.11823502454996,296.3315294433988,300.94240296992
y,229.45662759601703,216.25117855946397,183.82393657156334,225.8730919236417,181.68028898749188,256.42013113087677,203.45488367633902,250.18260449651675,280.6340084840513,287.2490255573681,138.1942182854429,129.08373676586777,273.8912190297731,177.07561348314607,180.82083200130484,232.77513663046668,118.27579515895954,161.89345093534627,199.5218341384863,279.79647214076243,185.40417213608956,232.01559773867342,259.78152170658683,121.1522358822151,108.94344839142093,290.90230136294804,134.96589949748744,241.26162937283328,240.60831323414246,165.16708721934367,301.7667861751152,173.7757671216894,289.7334360226915,185.47925982124298,105.63106624888093,259.2483371272479,116.00147895545315,199.22147433423387,281.26766086018193,140.7781646307085,211.17295099061522,119.8408225861191,189.640580306549,267.1954299489507,245.3443228014745,232.9969339296605,165.22514864083286,202.6895284410436,175.56276693002258,220.55713236957888,161.44166046511629,210.7605973813421,182.15816160258134,183.32635023480137
z,52.003293883357024,35.954473701842545,53.699155859467105,19.489393832599113,59.23150602455725,21.07787547649301,57.30324734756487,53.37439344521848,55.91628017099638,15.474788471995646,43.190510852529094,61.26212536212799,57.034066000416395,25.541623970037453,59.765387701843096,35.11914851775755,51.63121784682081,13.057776829668526,12.362529790660224,16.287425219941348,53.31822583979328,60.307136714706594,36.82914281437125,59.87441646489103,35.55899785522789,58.074521453811194,12.16255527638191,48.96995461708162,42.6370430696946,62.22099769717904,15.883651612903225,25.967259129623145,39.032154427986136,45.17182758262315,42.07808713816772,27.487195993626223,23.019674961597538,25.591265920494017,61.31562632958223,42.266774478481494,59.23276120959333,26.699734770066176,57.053294379934975,20.058153148043107,24.843955766192728,48.71969526326489,62.91016599190283,43.37810122614547,27.136884875846505,37.225114519170326,11.97818046511628,21.364221276595742,31.137432643183654,46.46625536235562
eigen0,6.073401270992561,7.125268626297435,7.759867004297282,10.068297359161438,53.57251324406944,10.243421913927426,8.857700453460337,17.24346004000413,22.175197615464104,12.287115311100358,16.664042808898103,14.427545429387663,16.007638918786878,12.991640846153377,28.24829079416457,12.712185033917189,9.80718553166867,12.556727658828079,6.497982026323145,7.762176241585248,37.19167204391115,19.847655745634437,9.861194410283973,30.517556883871986,10.632912484250992,16.22251424341496,4.8483674338003855,13.72530662552549,7.881198535541114,6.845491354027704,7.140656774844914,21.692832608705196,18.91962167550551,25.290294813841374,19.826278202105822,17.247119489347384,7.253961421702739,13.348871598500137,47.848881832548265,34.991528078019314,8.54057643943158,14.69870785833159,13.314367663518762,4.213264638877922,28.529111159506936,15.307862976224088,14.63875724187104,22.04484868239677,12.752492844224717,18.25186292204065,6.4549938685411075,6.650895130700836,5.438280303112437,16.12525320990625
eigen1,4.946431437621989,3.164868254877069,4.2574313701567625,2.283148402320714,7.736852748372696,2.5890067239241605,4.063352273513494,4.890953965272098,5.79704192502249,1.9958909709137054,10.99459569689739,3.2417735671064523,5.400130605999876,8.048124888657545,5.950819259689345,6.822178683425859,3.085123565631192,3.7768694551933124,1.6402011581903648,2.1380019066419846,10.579315707288824,8.913191799241769,6.6364663183343335,5.315097572498764,5.8105977450605275,3.183940088351393,2.5136859857899583,2.1778978971946437,1.4169912894513221,2.002589432456319,6.716137465798211,4.5586766846243085,10.606480301650056,9.218232720991738,3.0089008080770876,4.465028080237843,3.5446500371121252,6.265505703715158,2.9383413756147183,7.470698138189552,3.1377261421364584,6.025140455782007,4.894289197954746,1.855722177130813,3.8926688954877413,7.336979163758995,1.5387419475317332,5.906954237936888,3.812975832263954,6.346466396432934,1.1060534509904787,3.9932030175883635,2.771853177411018,6.307906290379554
eigen2,0.5583491749054987,1.1360134135022302,0.7466154517744745,0.8394772717926606,2.3124505279770013,1.2869419266350206,2.1584648552567227,2.5397856983314,2.510030217417822,1.1772362159444187,4.291145153593318,1.976049301054765,2.009533518888473,0.5021681413879246,1.5717830781275206,1.0157137512279206,1.479434468808661,0.4256783239119935,0.4120314482200426,0.5316222950438185,2.0713816188466567,1.9035908180903216,1.2614613329888167,1.3998515819925055,1.401845674339671,1.7693883182453507,0.7694511948192561,0.9963818077909433,0.6235752761224728,1.7636606203925922,0.814193327738451,1.5901005350365947,1.7279093401943637,2.6412720632810975,1.6697508294823833,0.508259440147201,1.2707774938156338,0.6879110040109904,1.0151327390642904,0.9471148695783079,1.1596582289409947,3.006072379149314,2.509929331988056,0.7926370214788737,0.6371739769908539,1.3788258744901858,0.8623778209536542,1.3982540071587441,0.6273569467618706,2.9604073472613557,0.5086004456777204,0.8369613804991691,1.7985402278067155,5.378220615821388
Volume,180.75352517,153.49908183,218.086970198,175.09694259,1344.3639853539999,202.35138593,402.28586839400003,649.581374096,781.8939829899999,189.13555208399998,1082.72132929,390.509891932,493.973929668,274.60137252,630.554687236,350.39957909199995,284.680374208,156.687337466,63.867959676000005,105.21243598799998,1194.0531591599997,645.827460202,343.50883303999996,658.374788834,383.61914588,407.47963967199996,81.866176976,163.166695694,65.667781406,178.64516257199998,223.17789452000002,440.750629938,652.666782776,989.5934106319999,344.640149556,225.90333885400003,167.38342089,266.476462996,333.58410178599996,547.2486528759999,197.260461608,606.0771117080001,553.57374067,90.659591714,292.959554166,505.90417656399995,177.822386924,557.790465866,182.24480603199999,409.07376749,55.280238849999996,157.09872529,191.243914682,810.3311663239999
