,60,109,384,1135,1184,1399,1927,1966,2657,2842,2984,3118,3705,4231,4849,5119,6033,6294,6699,7155,8146,9021,9257,9387,10422,10913,12116,12241,12934,13255,13339,13413,13573,14248,15225,15628,18021,18831,18900,19146,19333,19903,21582,21865,22367,24030,25374,25576,25899,25983,26854,27543,27748,28125,28747,28811,30328,30750,31509,31715,32339,32848,33576,33682,33821,34531,35252,35377
degree,53,37,32,34,57,37,38,44,32,43,26,50,41,56,34,21,29,48,37,57,31,51,20,54,32,29,61,51,21,98,12,20,73,10,59,36,50,41,39,56,60,51,76,20,44,23,32,15,25,55,8,44,60,13,74,42,36,55,34,8,64,11,43,28,33,54,48,42
complete,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False,True,True,True,True,True,False,False,False,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
x,91.9652181180355,96.06231638344794,104.38721470064286,114.72046270255791,116.93020168748986,118.57129736328125,123.8193231521075,125.30031138545955,129.97834621884246,131.19978827818284,131.8461003460208,134.66053180549434,139.49629608381142,142.1586585285925,143.09236976658022,148.0023975535168,152.53162215088284,153.16065994152046,156.29772655943506,157.51836042045687,164.4430069808028,168.52808914285717,167.44819348837208,169.64163586956522,175.98694188759276,176.1485453815261,184.20494525862068,182.06909716981133,184.74833333333333,199.72742587872997,185.9623788914199,185.48076851130165,191.87489979503528,191.33831115557777,200.8249041773906,201.26662790697677,216.05601389270979,221.4609290622474,220.6687351694915,224.58804152199076,224.81133938827298,225.82875237765867,231.21891715102868,234.59133272266067,237.18168008935402,238.5635322175732,246.59535159102765,250.52002038461538,248.732874903698,246.98304547521604,249.28534957020057,253.76472666198737,259.4596614538581,256.4586906987094,260.56573931623933,257.8958462597522,265.81063676535575,270.31944851180293,271.6867867902666,272.928240491165,276.7873503555268,279.5906469038208,286.0414147909968,286.25824179620037,289.12590055031444,294.0642764852044,301.98960313216196,302.65408378136203
y,200.8353534874123,179.79816046179795,161.17310378746805,264.3000429891523,152.97800292065554,143.2068525390625,279.9969578497251,282.2846662747404,226.7236603295311,290.2706371284353,281.034401384083,169.5095456148083,292.6321016462959,120.53864296247747,184.03546313449425,295.3864185524975,110.92277560192618,242.9504143274854,103.71173675951354,211.5326405902567,163.71361387434558,261.62114445714286,230.65305395348838,137.55851917270533,295.9455059384942,170.7300630522088,243.4733573275862,215.9140171988389,122.95366666666668,228.1381484814697,213.90204593773726,178.79908417770852,92.88016021407425,250.26475337668836,154.3568479509008,169.82354175808106,175.3866812242091,244.43443381164107,97.73590974576271,110.81056365740741,297.2368878055296,167.5959889330797,203.45145889842235,87.1567008173619,204.2457089530304,236.82837824267784,283.81979447052686,307.1171107692308,164.00739570493064,169.7183199181446,209.54319961795608,242.87656171663494,75.01549149338375,81.78911081441923,301.2448701923077,218.2149463056448,181.3887635881573,114.55550530277111,113.72605716492856,289.73046031746026,281.3235091575092,232.6523208168643,138.0833488745981,221.05076813471504,282.7414488993711,159.61747232889087,248.495012605042,146.04880465949822
z,21.860162608336772,22.405440913218314,50.09648640693981,41.6833874380608,32.64851955216615,9.193328124999999,13.994475870494808,32.23382049774642,36.34652851711027,21.364247335950644,50.81019261822375,55.599708829146465,41.18460039910202,33.934035720137636,30.0251774731382,58.39071233435269,54.76089823434991,18.752709941520468,23.85608630835622,19.864983626440264,19.204700698080277,45.202675657142855,53.15917023255814,49.448587862318846,49.06031240721103,45.60244257028112,9.587070258620688,25.732016400580548,24.255838170624454,37.104008442179044,62.822883826879256,47.317666406858926,42.060964245046684,62.98346473236618,12.993252425262323,61.30408336989908,35.557672902338375,53.957900363783345,23.516959322033898,52.43405150462963,20.9835242420195,29.073772436451673,21.781751822123816,54.62562373167982,58.82261360296278,57.08257573221757,34.810784559207086,61.69505794871795,45.9411153697997,14.879547976352885,62.89242788920726,56.96766088438784,17.053449046227875,56.864324877614585,16.47674919871795,31.121027076640665,10.783346000883782,11.93904892234006,39.6825507918115,61.30591853848457,21.00127817280758,59.017172595520414,21.854115755627014,17.529170120898097,39.61711871069182,8.48088818613056,8.348319327731092,25.74055286738351
eigen0,15.899748978901387,17.837230786146716,14.625127532652689,16.204938492276383,9.765454487370732,6.497654661603518,7.403914853071418,7.503388832423732,6.470665691299151,6.479455308552072,5.421717130279427,13.903255635031726,10.304239173003388,8.97950252098319,7.06685713168363,7.880972901916978,11.348848361675346,11.851397921340821,6.336878176397579,10.382326721489042,8.954355983892684,18.508927811441037,5.79357275984855,17.550772090067614,12.639800931258844,8.748856032466641,10.062304954202741,20.733621547070253,4.221811942232835,132.49883777046227,9.441780352536846,5.008332513315519,17.022448779558818,4.634282633011255,16.466078839761746,10.195247915075663,20.66538433133256,11.31646876245873,9.776159090923516,16.317212894393016,13.817044546150445,14.223828697460425,50.7777584207282,15.406672518636334,69.60376290466235,5.0566759582234235,8.040712461170015,32.964399566299974,12.275148341126542,13.227067336433135,2.4796926044972865,16.509213683101702,10.937100915076918,11.188836438820632,12.961244332693568,7.881608576603092,7.723081919138032,13.72029398687111,9.669034977715668,3.924125922549939,15.78919774429539,6.845432417846684,14.213465851286427,5.1249170182004375,6.474819478295741,16.129171082639825,18.51741441315993,17.247320677016635
eigen1,5.322126145373238,2.7511301066433584,4.642934354759728,2.9505449509429478,6.497273684776772,2.3298004673400143,2.6921736243854295,3.8594681503897212,5.584439673040917,2.673108206839066,1.059993453189424,4.078768018216319,4.050532856191323,6.190054041974642,2.5522090424132378,3.0908965450247154,4.298691279413712,3.156552641614661,3.813339537242117,6.3794501035642295,2.0580628177045353,3.5215436687374395,2.1495881657776827,3.6416936521384646,5.088647313246874,3.3376527630594097,5.9671697385521165,8.961760885985406,1.9216895326406365,19.606736704415702,1.286077621668396,1.7489782932290205,9.303911469814512,1.5544245125813692,7.070119922466778,3.4664904150614215,10.747030121249985,8.151245985910867,1.6766709882004207,4.382194351094792,7.8454386527627555,6.945567591714053,4.23236429635372,4.171920408477967,9.808867784616728,2.372751260782183,2.4273297614769014,2.667847254609037,7.567906200950849,3.1435973675244533,0.9945804411475158,4.613324889093982,5.194824933071591,3.627759875830751,5.0384783853341935,5.217646520291963,1.6437586125772659,6.870040704064513,2.2348926639379445,3.375952699170251,3.338511974250144,2.257958996116788,1.589578243928465,1.9238564576765123,2.7288721157849882,3.947634347060653,1.7630770783581813,2.2454638946887893
eigen2,0.8044460292107143,2.1734022757383538,3.5202288249366758,1.7922049550269348,1.1343128482393006,0.4646120453106552,1.4599921074185718,2.170955440555215,0.9587842733885781,1.7877778619066549,0.7458786038679388,1.2938412225195686,2.043619517442115,1.494772842187488,0.6732880823111373,1.8549072204560997,1.2798928681108168,0.5538744094632149,1.9832647393966785,0.6670414152971542,0.5918265194525151,1.739460128437492,0.6030057855110378,1.1872249586010772,2.1419309625960867,0.39925262244995813,0.6764580177499244,1.490243776966599,0.2966809011658657,5.718653377567212,0.9224589634405163,0.5213543535324725,1.2306253407167496,0.7815731301150156,0.609071022765738,1.9813759789462282,1.5291086260275921,1.489861608805743,0.679007432465756,0.9419894701861388,0.8581691691542351,0.7470742740665491,0.9594701454923149,1.245920383291655,2.3108028757250714,0.19723526169746952,0.5493894299728004,1.4221613444578327,1.5137878195689325,0.8784981939862702,0.6712214411200421,1.705942769552541,1.5763649157344901,0.8918143218782782,1.3393219505042278,0.4271053802124385,0.7084215319268147,0.3326373445323725,0.6990708822624467,1.1665720507027273,0.8990307115474654,1.6708247926346518,0.5599887139122371,1.0169641528168478,0.7424147437123279,0.615188476465005,0.5997468554186411,1.1621546401790237
Volume,249.19817438799998,396.423591902,663.9285244580001,383.97911022599993,316.922894914,105.31528294399999,168.360466972,262.414008234,243.43874485199999,183.376122548,89.168310852,350.03961474600004,412.313446604,313.8374862339999,138.79196712200002,252.23215959,320.36826794,175.86829476,262.15689084400003,254.391945666,117.86261157599999,449.95543250000003,55.280238849999996,340.62911827199997,484.92339754,128.04446022,238.60493792,708.6155268399999,58.468494486,1937.0195693039998,135.44944105200003,65.976322274,451.60098379600004,102.79553252199999,259.73998737799997,351.582319086,747.69737012,508.88673828799995,121.35940808000001,355.43907993600004,385.00757978599995,297.381973274,557.379078042,364.90099988799994,874.764784258,61.451056210000004,98.578807326,401.10312839999995,533.981395552,226.160456244,53.840381466,512.846346094,299.233218482,231.09711013200004,385.059003264,112.051758562,116.37133071400001,150.310826194,133.135384542,171.702993042,238.656361398,234.18251881199998,95.956209948,119.09677504799998,130.821328032,227.651737106,134.626665404,229.554405792
